date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:20	11804/11804	---M-Z	200	added ('OK')	application/javascript	etag:W/%222e1c-XoZJCnvrOHenGw4jVY13TgVEmX0%22	https://cdn.jsdelivr.net/gh/timothydesign/script/split-type.js	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.jsdelivr.net/gh/timothydesign/script/split-type.js	(from https://www.soscalemedia.se/)
16:04:20	6328/6328	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218b8-du6Dzp87eh0ksK+UK1Ks8kS5ZkI%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsslider@1/cmsslider.js	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsslider@1/cmsslider.js	(from https://www.soscalemedia.se/)
16:04:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2012%20Nov%202025%2010:34:21%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/www.googletagmanager.com/gtm.a5445.delayed	(from https://www.soscalemedia.se/)
16:04:21	52/52	---M--	302	error ('Found')	text/plain	date:Wed,%2012%20Nov%202025%2010:34:21%20GMT	https://unpkg.com/flickity@2/dist/flickity.min.css	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/unpkg.com/flickity@2/dist/flickity.min.b.delayed	(from https://www.soscalemedia.se/)
16:04:21	1797/1797	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Sep%202025%2000:54:10%20GMT	https://unpkg.com/flickity@2.3.0/dist/flickity.min.css	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/unpkg.com/flickity@2.3.0/dist/flickity.min.css	(from https://www.soscalemedia.se/)
16:04:21	103808/103808	---M--	200	added ('OK')	image/png	etag:%2248a679657e0bb070143df2006386c43a%22	https://cdn.prod.website-files.com/67a323a1c68594827fa0cca9/67a61ab8639234ada24cdd5e_Group%202147255215.png	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.prod.website-files.com/67a323a1c68594827fa0cca9/67a61ab8639234ada24cdd5e_Group%202147255215.png	(from https://www.soscalemedia.se/)
16:04:23	23670/23670	---M-Z	200	added ('OK')	text/javascript	etag:%225246ecdbf28fde469ef148db678c9d33%22	https://link.msgsndr.com/js/form_embed.js	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/link.msgsndr.com/js/form_embed.js	(from https://www.soscalemedia.se/)
16:04:23	91793/91793	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202025%2004:46:17%20GMT	https://www.soscalemedia.se/services	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/www.soscalemedia.se/services.html	(from https://www.soscalemedia.se/)
16:04:24	43540/43540	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Nov%202025%2021:52:03%20GMT	https://www.soscalemedia.se/portfolio	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/www.soscalemedia.se/portfolio.html	(from https://www.soscalemedia.se/)
16:04:24	59032/59032	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Nov%202025%2013:47:00%20GMT	https://www.soscalemedia.se/about	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/www.soscalemedia.se/about.html	(from https://www.soscalemedia.se/)
16:04:24	81409/81409	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Nov%202025%2014:25:40%20GMT	https://www.soscalemedia.se/case-studies	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/www.soscalemedia.se/case-studies.html	(from https://www.soscalemedia.se/)
16:04:25	53352/53352	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202025%2017:31:02%20GMT	https://www.soscalemedia.se/resources	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/www.soscalemedia.se/resources.html	(from https://www.soscalemedia.se/)
16:04:25	39975/39975	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Nov%202025%2014:26:28%20GMT	https://www.soscalemedia.se/reviews	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/www.soscalemedia.se/reviews.html	(from https://www.soscalemedia.se/)
16:04:25	4771/4771	---M--	200	added ('OK')	image/png	etag:%22625b4937d1ce4b9125d68c0e1684872f%22	https://cdn.prod.website-files.com/67a323a1c68594827fa0cca9/687a3a8645555f289e33f3dc_tik-tik.png	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.prod.website-files.com/67a323a1c68594827fa0cca9/687a3a8645555f289e33f3dc_tik-tik.png	(from https://www.soscalemedia.se/)
16:04:25	7668/7668	---M--	200	added ('OK')	image/png	etag:%22613484c400f377c936560591c32c5393%22	https://cdn.prod.website-files.com/67a323a1c68594827fa0cca9/687a3a8638627c9ee3894e79_meta.png	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.prod.website-files.com/67a323a1c68594827fa0cca9/687a3a8638627c9ee3894e79_meta.png	(from https://www.soscalemedia.se/)
16:04:25	3291/3291	---M--	200	added ('OK')	image/png	etag:%222268443bf8e89da10d28f7209217a639%22	https://cdn.prod.website-files.com/67a323a1c68594827fa0cca9/687a3a8644209eca92c33ce8_Google-Partner.png	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.prod.website-files.com/67a323a1c68594827fa0cca9/687a3a8644209eca92c33ce8_Google-Partner.png	(from https://www.soscalemedia.se/)
16:04:26	6088/6088	---M--	200	added ('OK')	image/png	etag:%220ab17194084341eaeaef856054a6fc04%22	https://cdn.prod.website-files.com/67a323a1c68594827fa0cca9/687a3a86dc963811333d02af_shopify-partners.png	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.prod.website-files.com/67a323a1c68594827fa0cca9/687a3a86dc963811333d02af_shopify-partners.png	(from https://www.soscalemedia.se/)
16:04:26	45280/45280	---M--	200	added ('OK')	image/png	etag:%2295f00e36aa91bb4fa1e317bae49bc66e%22	https://cdn.prod.website-files.com/67a323a1c68594827fa0cca9/6890ac6dd1089ea56f8146c3_clavio.png	C:/Users/patel/OneDrive/Desktop/here/soscalemedia/cdn.prod.website-files.com/67a323a1c68594827fa0cca9/6890ac6dd1089ea56f8146c3_clavio.png	(from https://www.soscalemedia.se/)
